"Cikkszám"	"Megnevezés"	"Energia"	"Gyártás"	"Sz_idõ"	"Egység"	"Egységár"	"Mennyiség"	"Kategória"	"Diétás"
36	"Milka csokoládé"	1400	2000.9.24 17:01:53	4	"10 dkg-s tábla"	150,00 Ft	2500,00	"édesség"	0
37	"Csoki télapó"	520	2000.6.11 0:00:00	4	"db"	80,00 Ft	500,00	"édesség"	0
38	"Tejszínes puding"	200	2000.5.23 0:00:00	1	"pohár"	56,00 Ft	500,00	"édesség"	1
39	"Milka télapó"	2000	2000.9.24 17:03:56	6	"db"	480,00 Ft	200,00	"édesség"	0
40	"Kadarka"	2500	2000.7.24 17:04:18	12	"0,7 l-es üveg"	210,00 Ft	300,00	"szeszes ital"	0
41	"Szürkebarát"	2400	2000.7.24 17:04:54	24	"0,7 l-es üveg"	260,00 Ft	250,00	"szeszes ital"	0
42	"Egri bikavér"	2600	2000.9.24 17:05:18	24	"0,7 l-es üveg"	290,00 Ft	180,00	"szeszes ital"	0
43	"Fanta"	1200	2000.8.24 17:05:50	12	"2 l-es üveg"	150,00 Ft	240,00	"üdítõital"	1
44	"Pepsi cola"	800	2000.7.24 17:06:33	12	"2 l-es üveg"	145,00 Ft	410,00	"üdítõital"	0
45	"Borsodi sör"	2100	2000.9.24 17:07:37	2	"0,5 l-es üveg"	78,00 Ft	240,00	"szeszes ital"	0
46	"Arany ászok sör"	2000	2000.8.24 17:08:46	3	"0,5 l-es üveg"	84,00 Ft	350,00	"szeszes ital"	0
47	"Talléros sör"	2050	2000.9.24 17:09:21	2	"0,5 l-es üveg"	82,00 Ft	400,00	"szeszes ital"	0
48	"Tehéntúró"	850	2000.9.24 17:10:05	1	"0,5 kg"	140,00 Ft	60,00	"tej, tejtermék"	1
49	"Pick szalámi"	3100	2000.9.24 17:10:36	3	"kg"	2600,00 Ft	50,00	"felvágott"	0
50	"Paprikás szalámi"	3100	2000.9.24 17:11:30	3	"kg"	2300,00 Ft	0,00	"felvágott"	0
1	"Trappista sajt"	1048	2000.7.12 0:00:00	12	"kg"	900,00 Ft	6,80	"tej, tejtermék"	0
2	"Coca Cola Light"	150	2000.4.5 0:00:00	18	"2 l-es palack"	155,00 Ft	240,00	"üdítõital"	1
3	"Rizs"	850	2000.1.22 14:02:45	12	"kg"	180,00 Ft	185,00	"alapvetõ élelmiszer"	0
